Wall time,Step,Value
1672637659.6311529,0,-49.18000030517578
1672637702.8818562,1,-49.68000030517578
1672637744.2415435,2,-47.34000015258789
1672637792.2448237,3,-48.11000061035156
1672637828.9897325,4,-46.38999938964844
1672637870.4003332,5,-40.84000015258789
1672637907.9239435,6,-37.540000915527344
1672637945.5915685,7,-37.790000915527344
1672637989.219711,8,-35.34000015258789
1672638030.3261313,9,-31.670000076293945
1672638065.5946946,10,-28.760000228881836
1672638101.861909,11,-27.670000076293945
1672638137.7932317,12,-27.799999237060547
1672638173.645253,13,-27.149999618530273
1672638209.0452347,14,-26.940000534057617
1672638248.0129478,15,-25.700000762939453
1672638285.1901407,16,-27.06999969482422
1672638321.209774,17,-26.969999313354492
1672638357.6355195,18,-26.940000534057617
1672638393.992782,19,-27.75
1672638428.682705,20,-27.350000381469727
1672638463.3354099,21,-26.719999313354492
1672638498.2372553,22,-27.170000076293945
1672638532.6121519,23,-26.649999618530273
1672638567.321744,24,-26.8700008392334
1672638601.7605183,25,-26.920000076293945
1672638635.7607331,26,-27.34000015258789
1672638672.473719,27,-26.309999465942383
1672638706.8833313,28,-26.309999465942383
1672638743.1142063,29,-26.600000381469727
1672638778.3906019,30,-26.989999771118164
1672638814.0075045,31,-26.809999465942383
1672638850.2906158,32,-26.899999618530273
1672638884.727968,33,-27.0
1672638920.9966226,34,-26.649999618530273
1672638956.8553925,35,-26.489999771118164
1672638992.3759465,36,-26.43000030517578
1672639028.420063,37,-27.479999542236328
1672639063.318756,38,-27.0
1672639099.0031464,39,-26.68000030517578
1672639134.0850017,40,-26.09000015258789
1672639169.8581176,41,-27.790000915527344
1672639205.2390537,42,-26.690000534057617
1672639239.4513652,43,-27.440000534057617
1672639275.2533972,44,-26.610000610351562
1672639310.1675165,45,-26.579999923706055
1672639345.4138935,46,-26.639999389648438
1672639380.8741274,47,-26.239999771118164
1672639415.7828054,48,-27.1299991607666
1672639452.7079287,49,-27.239999771118164
1672639487.8546274,50,-26.3700008392334
1672639523.8222888,51,-26.950000762939453
1672639559.483755,52,-27.209999084472656
1672639594.9186401,53,-26.760000228881836
1672639629.8237307,54,-26.770000457763672
1672639664.8884156,55,-27.09000015258789
1672639700.524527,56,-27.040000915527344
1672639735.8963773,57,-27.459999084472656
1672639770.74806,58,-26.760000228881836
1672639806.293918,59,-27.309999465942383
1672639840.8391988,60,-27.34000015258789
1672639876.3415043,61,-27.110000610351562
1672639911.6608896,62,-26.8799991607666
1672639946.9626482,63,-26.459999084472656
1672639982.6714623,64,-26.729999542236328
1672640017.3726912,65,-26.979999542236328
1672640053.4639733,66,-27.450000762939453
1672640088.2521162,67,-26.510000228881836
1672640123.8010514,68,-26.760000228881836
1672640159.155067,69,-26.510000228881836
1672640194.5284193,70,-27.399999618530273
1672640230.5700116,71,-26.59000015258789
1672640265.28554,72,-26.190000534057617
1672640300.7720895,73,-27.389999389648438
1672640335.7631924,74,-26.149999618530273
1672640371.231786,75,-27.600000381469727
1672640406.3501458,76,-26.799999237060547
1672640441.0537016,77,-26.75
1672640476.112643,78,-26.81999969482422
1672640511.867808,79,-26.5
1672640546.6130486,80,-27.309999465942383
1672640581.889191,81,-26.239999771118164
1672640617.2238288,82,-26.959999084472656
1672640653.0076509,83,-27.0
1672640688.5023522,84,-27.610000610351562
1672640723.4425166,85,-27.260000228881836
1672640758.8877006,86,-26.770000457763672
1672640793.5009754,87,-27.06999969482422
1672640829.0173054,88,-26.899999618530273
1672640864.0140955,89,-26.6200008392334
1672640899.6099453,90,-27.149999618530273
1672640934.6968436,91,-26.639999389648438
1672640968.9900346,92,-26.799999237060547
1672641005.1792643,93,-26.1200008392334
1672641040.1299105,94,-27.280000686645508
1672641075.339876,95,-27.600000381469727
1672641110.7516665,96,-26.420000076293945
1672641145.962056,97,-26.959999084472656
1672641181.7049224,98,-27.030000686645508
1672641217.8542569,99,-26.479999542236328
