Wall time,Step,Value,
1671034947,0,0.489361703,3.489361703
1671035061,1,0.372340411,3.372340411
1671035176,2,0.56382978,3.56382978
1671035286,3,0.43617022,3.43617022
1671035400,4,0.478723407,3.478723407
1671035508,5,0.372340411,3.372340411
1671035624,6,0.425531924,3.425531924
1671035734,7,0.404255331,3.404255331
1671035848,8,0.43617022,3.43617022
1671035963,9,0.606382966,3.606382966
1671036076,10,0.393617034,3.393617034
1671036188,11,0.56382978,3.56382978
1671036302,12,0.617021263,3.617021263
1671036410,13,0.638297856,3.638297856
1671036518,14,0.585106373,3.585106373
1671036626,15,0.659574449,3.659574449
1671036740,16,0.585106373,3.585106373
1671036854,17,0.627659559,3.627659559
1671036962,18,0.648936152,3.648936152
1671037077,19,0.627659559,3.627659559
1671037191,20,0.574468076,3.574468076
1671037305,21,0.595744669,3.595744669
1671037419,22,0.627659559,3.627659559
1671037533,23,0.659574449,3.859574449
1671037647,24,0.659574449,3.859574449
1671037762,25,0.734042525,3.934042525
1671037876,26,0.553191483,3.753191483
1671037990,27,0.680851042,3.880851042
1671038105,28,0.606382966,3.806382966
1671038219,29,0.691489339,3.891489339
1671038333,30,0.585106373,3.785106373
1671038447,31,0.56382978,3.76382978
1671038561,32,0.638297856,3.838297856
1671038675,33,0.56382978,3.76382978
1671038790,34,0.627659559,3.827659559
1671038904,35,0.585106373,3.785106373
1671039025,36,0.585106373,3.785106373
1671039139,37,0.595744669,3.795744669
1671039253,38,0.638297856,3.838297856
1671039374,39,0.595744669,3.795744669
1671039489,40,0.638297856,3.838297856
1671039603,41,0.617021263,3.817021263
1671039718,42,0.585106373,3.785106373
1671039832,43,0.553191483,3.753191483
1671039953,44,0.606382966,3.806382966
1671040060,45,0.659574449,3.859574449
1671040188,46,0.617021263,3.817021263
