Wall time,Step,Value,
1671031650,0,-4.335000038,-1.335000038
1671031768,1,-4.227000237,-1.227000237
1671031888,2,-3.692000151,-0.692000151
1671032006,3,-3.964000225,-0.964000225
1671032118,4,-4.086000443,-1.086000443
1671032239,5,-3.830000162,-0.830000162
1671032348,6,-3.223999977,-0.223999977
1671032467,7,-3.293000221,-0.293000221
1671032583,8,-3.34800005,-0.34800005
1671032697,9,-3.129000187,-0.129000187
1671032813,10,-3.393000126,-0.393000126
1671032921,11,-3.377000093,-0.377000093
1671033030,12,-3.516000032,-0.516000032
1671033146,13,-3.237999916,-0.237999916
1671033256,14,-3.285000086,-0.285000086
1671033364,15,-3.150000095,-0.150000095
1671033472,16,-3.292999983,-0.292999983
1671033586,17,-3.023999929,-0.023999929
1671033703,18,-3.05700016,-0.05700016
1671033812,19,-3.016000271,-0.016000271
1671033926,20,-3.022000074,-0.022000074
1671034041,21,-2.850000143,0.149999857
1671034156,22,-2.66899991,0.33100009
1671034271,23,-2.601999998,0.398000002
1671034386,24,-2.64199996,0.35800004
1671034501,25,-2.542000055,0.457999945
1671034615,26,-2.641000032,0.358999968
1671034732,27,-2.592000008,0.407999992
