Episodes,Reward
1,-4.335000038
2,-4.227000237
3,-3.692000151
4,-3.964000225
5,-4.086000443
6,-3.830000162
7,-3.223999977
8,-3.293000221
9,-3.34800005
10,-3.129000187
11,-3.393000126
12,-3.377000093
13,-3.516000032
14,-3.237999916
15,-3.285000086
16,-3.150000095
17,-3.292999983
18,-3.023999929
19,-3.05700016
20,-3.016000271
21,-3.022000074
22,-2.850000143
23,-2.66899991
24,-2.601999998
25,-2.64199996
26,-2.542000055
27,-2.641000032
28,-2.592000008
29,-2.463000059
30,-2.523000002
31,-2.515000105
32,-2.632000208
33,-2.457000017
34,-2.461999893
35,-2.496999979
36,-2.499000072
37,-2.493999958
38,-2.476000071
39,-2.460000038
40,-2.467999935
41,-2.437999964
42,-2.437000036
43,-2.485000134
44,-2.633000135
45,-2.371000051
46,-2.442000151
47,-2.427000046
48,-1.335000038
49,-1.227000237
50,-0.692000151
51,-0.964000225
52,-1.086000443
53,-0.830000162
54,-0.223999977
55,-0.293000221
56,-0.34800005
57,-0.129000187
58,-0.393000126
59,-0.377000093
60,-0.516000032
61,-0.237999916
62,-0.285000086
63,-0.150000095
64,-0.292999983
65,-0.023999929
66,-0.05700016
67,-0.016000271
68,-0.022000074
69,0.149999857
70,0.33100009
71,0.398000002
72,0.35800004
73,0.457999945
74,0.358999968
75,0.407999992
76,0.664999962
77,0.772999763
78,1.307999849
79,1.035999775
80,0.913999557
81,1.169999838
82,1.776000023
83,1.706999779
84,1.65199995
85,1.870999813
86,1.606999874
87,1.622999907
88,1.483999968
89,1.762000084
90,1.714999914
91,1.849999905
92,1.707000017
93,1.976000071
94,1.94299984
95,1.983999729
96,1.977999926
97,2.149999857
98,2.33100009
99,2.398000002
100,2.35800004
101,2.457999945
102,2.358999968
103,2.407999992
104,3.489361703
105,3.372340411
106,3.56382978
107,3.43617022
108,3.478723407
109,3.372340411
110,3.425531924
111,3.404255331
112,3.43617022
113,3.606382966
114,3.393617034
115,3.56382978
116,3.617021263
117,3.638297856
118,3.585106373
119,3.659574449
120,3.585106373
121,3.627659559
122,3.648936152
123,3.627659559
124,3.574468076
125,3.595744669
126,3.627659559
127,3.859574449
128,3.859574449
129,3.934042525
130,3.753191483
131,3.880851042
132,3.806382966
133,3.891489339
134,3.785106373
135,3.76382978
136,3.838297856
137,3.76382978
138,3.827659559
139,3.785106373
140,3.785106373
141,3.795744669
142,3.838297856
143,3.795744669
144,3.838297856
145,3.817021263
146,3.785106373
147,3.753191483
148,3.806382966
149,3.859574449
150,3.817021263
