,0_ECDF_0,0_ECDF_1,0_ECDF_2,0_ECDF_3,0_ECDF_4,0_ECDF_5,0_ECDF_6,0_ECDF_7,0_ECDF_8,0_ECDF_9,0_ECDF Percentile_0,0_ECDF Percentile_1,0_ECDF Percentile Count_0,0_ECDF Percentile Count_1,0_Histogram_0,0_Histogram_1,0_Histogram_2,0_Histogram_3,0_Histogram_4,0_Histogram_5,0_Histogram_6,0_Histogram_7,0_Histogram_8,0_Histogram_9,0_Interquartile range,0_Kurtosis,0_Max,0_Mean,0_Mean absolute deviation,0_Median,0_Median absolute deviation,0_Min,0_Root mean square,0_Skewness,0_Standard deviation,0_Variance,Class,Anomaly
0,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.371760437,0.588222721,8,32,0,0,0,0,0,0,12,23,3,2,0.178340744,1.21994606,0.854472919,0.485200424,0.096286155,0.466088689,0.089902133,0.350977287,0.500784414,1.280446802,0.123957966,0.015365577,0,0
1,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.371760437,0.568069215,8,32,0,0,0,0,0,0,12,25,1,2,0.168303829,2.14413826,0.854472919,0.47869992,0.087896275,0.466088689,0.086203368,0.350977287,0.492448386,1.416154388,0.115549987,0.0133518,0,0
2,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.375117217,0.568069215,8,32,0,0,0,0,0,0,11,26,1,2,0.145930769,2.323202018,0.854472919,0.483349587,0.085458698,0.468628154,0.074812333,0.355691271,0.496371823,1.447101583,0.112952044,0.012758164,0,0
3,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.377255895,0.568069215,8,32,0,0,0,0,0,0,10,27,1,2,0.144243428,2.427319132,0.854472919,0.486957076,0.083649389,0.470944603,0.07229568,0.367899066,0.499494873,1.455228814,0.111211211,0.012367934,0,0
4,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.377255895,0.568069215,8,32,0,0,0,0,0,0,10,27,1,2,0.144338051,2.329942026,0.854472919,0.487395077,0.084591069,0.470944603,0.072495883,0.367899066,0.500019994,1.418031423,0.111651391,0.012466033,0,0
5,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.38200332,0.571259982,8,32,0,0,0,0,0,0,9,27,2,2,0.155214002,1.839002306,0.854472919,0.495653768,0.086600029,0.47798261,0.077446121,0.367899066,0.50820677,1.242371027,0.112256239,0.012601463,0,0
6,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.398810418,0.589601694,8,32,0,0,0,0,0,0,8,27,3,2,0.159540315,1.379279692,0.854472919,0.506591303,0.087854439,0.498282748,0.084277514,0.367899066,0.518899466,1.046406104,0.112347267,0.012621908,0,0
7,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.401312532,0.597051191,8,32,0,0,0,0,0,0,7,26,5,2,0.163386477,0.613841236,0.854472919,0.521442865,0.092578096,0.503645286,0.085266921,0.368780591,0.534174096,0.82381425,0.115928011,0.013439304,0,0
8,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.404838332,0.599218021,8,32,0,0,0,0,0,0,6,26,5,3,0.137939596,0.629335089,0.874550471,0.538329601,0.09712861,0.528319231,0.068746496,0.369173172,0.552638412,0.876284255,0.124941808,0.015610455,0,0
9,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.401312532,0.599218021,8,32,0,0,0,0,0,0,7,25,5,3,0.14066317,0.597558895,0.874550471,0.53774602,0.097712191,0.528319231,0.068746496,0.370650707,0.552162186,0.876819645,0.125348705,0.015712298,0,0
