,0_Interquartile range,0_Kurtosis,0_Mean,0_Mean absolute deviation,0_Median,0_Median absolute deviation,0_Root mean square,0_Skewness,0_Standard deviation,0_Variance,Class
0,0.36268939,0.297377893,0.294510219,0.220563477,0.232928578,0.197271869,0.4058341,1.021790538,0.279222219,0.077965048,0
1,0.435356198,-0.664482682,0.34669203,0.257355186,0.28729505,0.229449295,0.467650935,0.708285499,0.313850335,0.098502033,0
2,0.43395683,-0.679120573,0.353320439,0.253861201,0.328519278,0.223457651,0.470940059,0.670114354,0.311366677,0.096949207,0
3,0.366986191,-0.435061158,0.322346829,0.248848894,0.280734429,0.208440437,0.44622547,0.853472137,0.308560678,0.095209692,0
4,0.381093614,-0.412521396,0.313423127,0.252208125,0.250017993,0.192305772,0.440582784,0.872213205,0.309643558,0.095879133,0
5,0.407625668,-0.672889188,0.335752331,0.257063665,0.280467118,0.222853423,0.457553789,0.703703359,0.310846975,0.096625842,0
6,0.487961713,-0.876068746,0.360555854,0.257870196,0.354772751,0.282478759,0.477204218,0.567105024,0.312607329,0.097723342,0
7,0.470140491,-0.367628301,0.337027276,0.23816287,0.274181084,0.231646877,0.440744673,0.684372882,0.284021975,0.080668482,0
8,0.310002488,0.877409751,0.290435462,0.209909086,0.244492164,0.171579453,0.392855816,1.153976684,0.264542879,0.069982935,0
9,0.281504296,0.709022647,0.32439579,0.20201128,0.297144951,0.138015023,0.413873398,0.978365352,0.257018602,0.066058562,0
10,0.325321443,0.607091779,0.323875263,0.204808241,0.303505444,0.148342944,0.415101376,0.93229596,0.259641997,0.067413967,0
11,0.363524755,0.549485689,0.321130818,0.207552685,0.303505444,0.174415703,0.41426763,0.924050366,0.261711037,0.068492667,0
12,0.385898899,0.512759357,0.312376646,0.210971635,0.300539528,0.187347362,0.410042238,0.917327906,0.265622793,0.070555468,0
13,0.385898899,0.450038517,0.308115794,0.215232486,0.300539528,0.203822243,0.408578035,0.916583557,0.268329402,0.072000668,0
14,0.388671689,0.505845204,0.29273586,0.221012753,0.23981509,0.194078776,0.39958903,1.015787812,0.271987333,0.073977109,0
15,0.363602854,0.86519425,0.272648564,0.210062419,0.230316858,0.184256174,0.374768277,1.122029376,0.257126471,0.066114022,0
16,0.336951678,0.01652092,0.294957331,0.235070627,0.169845495,0.135295102,0.409584048,1.053465668,0.284181747,0.080759265,0
17,0.336951678,-0.044718708,0.295837665,0.236171044,0.169845495,0.135295102,0.412064764,1.052892763,0.286840454,0.082277446,0
18,0.346197513,-0.052055449,0.29569474,0.236278238,0.181034146,0.146483754,0.412193998,1.047106977,0.287173315,0.082468513,0
19,0.346197513,-0.024002516,0.288637721,0.239311842,0.166423878,0.127043419,0.408602926,1.087496804,0.289213792,0.083644618,0
20,0.247652952,0.488948898,0.284893274,0.220492527,0.166847362,0.083941491,0.398423727,1.29857297,0.278526998,0.077577289,0
21,0.188414102,0.878665229,0.268164231,0.209854218,0.153692403,0.086717019,0.385622758,1.445169402,0.277115241,0.076792857,0
22,0.211587992,0.847084947,0.270313339,0.210217134,0.153748898,0.093915347,0.386942714,1.427124837,0.276867049,0.076655363,0
